السنة,الشهر,المطار,المعيار,متوسط أوقات الانتظار (بالدقائق)
2026,2,مطار الأمير نايف بن عبدالعزيز الدولي بالقصيم,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.2
2026,2,مطار الأمير نايف بن عبدالعزيز الدولي بالقصيم,وقت انتظار مساعدة ذوي الإعاقة القادمين,0.1
2026,2,مطار الطائف الدولي,وقت الانتظار عند تسجيل إجراءات السفر,1.4
2026,2,مطار الطائف الدولي,وقت الانتظار عند التفتيش الأمني,0.9
2026,2,مطار الطائف الدولي,وقت الانتظار عند معاينة وثائق السفر للمغادرين,0.9
2026,2,مطار الطائف الدولي,وقت الانتظار عند معاينة وثائق السفر للقادمين,0.9
2026,2,مطار الطائف الدولي,وقت الانتظار عند التفتيش الجمركي,0.8
2026,2,مطار الطائف الدولي,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,8.8
2026,2,مطار الطائف الدولي,وقت انتظار مساعدة ذوي الإعاقة المغادرين,1.8
2026,2,مطار الطائف الدولي,وقت انتظار مساعدة ذوي الإعاقة القادمين,1.8
2026,2,مطار حائل الدولي ,وقت الانتظار عند تسجيل إجراءات السفر,1.4
2026,2,مطار حائل الدولي ,وقت الانتظار عند التفتيش الأمني,0.6
2026,2,مطار حائل الدولي ,وقت الانتظار عند معاينة وثائق السفر للمغادرين,0.7
2026,2,مطار حائل الدولي ,وقت الانتظار عند معاينة وثائق السفر للقادمين,0.6
2026,2,مطار حائل الدولي ,وقت الانتظار عند التفتيش الجمركي,0.8
2026,2,مطار حائل الدولي ,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,8.4
2026,2,مطار حائل الدولي ,وقت انتظار مساعدة ذوي الإعاقة المغادرين,1.1
2026,2,مطار حائل الدولي ,وقت انتظار مساعدة ذوي الإعاقة القادمين,2.5
2026,2,مطار الأمير عبدالمحسن بن عبدالعزيز الدولي بينبع,وقت الانتظار عند تسجيل إجراءات السفر,1.6
2026,2,مطار الأمير عبدالمحسن بن عبدالعزيز الدولي بينبع,وقت الانتظار عند التفتيش الأمني,0.6
2026,2,مطار الأمير عبدالمحسن بن عبدالعزيز الدولي بينبع,وقت الانتظار عند معاينة وثائق السفر للمغادرين,0.8
2026,2,مطار الأمير عبدالمحسن بن عبدالعزيز الدولي بينبع,وقت الانتظار عند معاينة وثائق السفر للقادمين,1.3
2026,2,مطار الأمير عبدالمحسن بن عبدالعزيز الدولي بينبع,وقت الانتظار عند التفتيش الجمركي,0.9
2026,2,مطار الأمير عبدالمحسن بن عبدالعزيز الدولي بينبع,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,7.8
2026,2,مطار الأمير عبدالمحسن بن عبدالعزيز الدولي بينبع,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.0
2026,2,مطار الأمير عبدالمحسن بن عبدالعزيز الدولي بينبع,وقت انتظار مساعدة ذوي الإعاقة القادمين,1.2
2026,2,مطار الجوف الدولي,وقت الانتظار عند تسجيل إجراءات السفر,0.7
2026,2,مطار الجوف الدولي,وقت الانتظار عند التفتيش الأمني,0.3
2026,2,مطار الجوف الدولي,وقت الانتظار عند معاينة وثائق السفر للمغادرين,0.4
2026,2,مطار الجوف الدولي,وقت الانتظار عند معاينة وثائق السفر للقادمين,0.4
2026,2,مطار الجوف الدولي,وقت الانتظار عند التفتيش الجمركي,0.6
2026,2,مطار الجوف الدولي,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,8.2
2026,2,مطار الجوف الدولي,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.0
2026,2,مطار الجوف الدولي,وقت انتظار مساعدة ذوي الإعاقة القادمين,5.2
2026,2,مطار الأحساء الدولي,وقت الانتظار عند تسجيل إجراءات السفر,0.1
2026,2,مطار الأحساء الدولي,وقت الانتظار عند التفتيش الأمني,0.1
2026,2,مطار الأحساء الدولي,وقت الانتظار عند معاينة وثائق السفر للمغادرين,0.1
2026,2,مطار الأحساء الدولي,وقت الانتظار عند معاينة وثائق السفر للقادمين,0.1
2026,2,مطار الأحساء الدولي,وقت الانتظار عند التفتيش الجمركي,0.1
2026,2,مطار الأحساء الدولي,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,5.7
2026,2,مطار الأحساء الدولي,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.0
2026,2,مطار الأحساء الدولي,وقت انتظار مساعدة ذوي الإعاقة القادمين,0.0
2026,2,مطار العلا الدولي,وقت الانتظار عند تسجيل إجراءات السفر,0.8
2026,2,مطار العلا الدولي,وقت الانتظار عند التفتيش الأمني,0.5
2026,2,مطار العلا الدولي,وقت الانتظار عند معاينة وثائق السفر للمغادرين,0.4
2026,2,مطار العلا الدولي,وقت الانتظار عند معاينة وثائق السفر للقادمين,0.5
2026,2,مطار العلا الدولي,وقت الانتظار عند التفتيش الجمركي,0.4
2026,2,مطار العلا الدولي,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,9.6
2026,2,مطار العلا الدولي,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.5
2026,2,مطار العلا الدولي,وقت انتظار مساعدة ذوي الإعاقة القادمين,0.5
2026,2,مطار نجران الدولي ,وقت الانتظار عند تسجيل إجراءات السفر,0.5
2026,2,مطار نجران الدولي ,وقت الانتظار عند التفتيش الأمني,0.3
2026,2,مطار نجران الدولي ,وقت الانتظار عند معاينة وثائق السفر للمغادرين,0.4
2026,2,مطار نجران الدولي ,وقت الانتظار عند معاينة وثائق السفر للقادمين,0.4
2026,2,مطار نجران الدولي ,وقت الانتظار عند التفتيش الجمركي,0.4
2026,2,مطار نجران الدولي ,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,7.6
2026,2,مطار نجران الدولي ,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.1
2026,2,مطار نجران الدولي ,وقت انتظار مساعدة ذوي الإعاقة القادمين,0.1
2026,2,مطار القيصومة الدولي,وقت الانتظار عند تسجيل إجراءات السفر,0.6
2026,2,مطار القيصومة الدولي,وقت الانتظار عند التفتيش الأمني,0.5
2026,2,مطار القيصومة الدولي,وقت الانتظار عند معاينة وثائق السفر للمغادرين,0.6
2026,2,مطار القيصومة الدولي,وقت الانتظار عند معاينة وثائق السفر للقادمين,0.7
2026,2,مطار القيصومة الدولي,وقت الانتظار عند التفتيش الجمركي,0.6
2026,2,مطار القيصومة الدولي,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,3.5
2026,2,مطار القيصومة الدولي,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.0
2026,2,مطار القيصومة الدولي,وقت انتظار مساعدة ذوي الإعاقة القادمين,0.0
2026,2,مطار عرعر الدولي,وقت الانتظار عند تسجيل إجراءات السفر,0.5
2026,2,مطار عرعر الدولي,وقت الانتظار عند التفتيش الأمني,0.5
2026,2,مطار عرعر الدولي,وقت الانتظار عند معاينة وثائق السفر للمغادرين,0.3
2026,2,مطار عرعر الدولي,وقت الانتظار عند معاينة وثائق السفر للقادمين,0.6
2026,2,مطار عرعر الدولي,وقت الانتظار عند التفتيش الجمركي,0.6
2026,2,مطار عرعر الدولي,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,5.6
2026,2,مطار عرعر الدولي,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.4
2026,2,مطار عرعر الدولي,وقت انتظار مساعدة ذوي الإعاقة القادمين,0.3
2026,2,مطار خليج نيوم الدولي,وقت الانتظار عند تسجيل إجراءات السفر,0.3
2026,2,مطار خليج نيوم الدولي,وقت الانتظار عند التفتيش الأمني,0.2
2026,2,مطار خليج نيوم الدولي,وقت الانتظار عند معاينة وثائق السفر للمغادرين,0.3
2026,2,مطار خليج نيوم الدولي,وقت الانتظار عند معاينة وثائق السفر للقادمين,0.3
2026,2,مطار خليج نيوم الدولي,وقت الانتظار عند التفتيش الجمركي,0.3
2026,2,مطار خليج نيوم الدولي,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,7.8
2026,2,مطار خليج نيوم الدولي,وقت انتظار مساعدة ذوي الإعاقة المغادرين,1.4
2026,2,مطار خليج نيوم الدولي,وقت انتظار مساعدة ذوي الإعاقة القادمين,4.2
2026,2,مطار البحر الأحمر الدولي,وقت الانتظار عند تسجيل إجراءات السفر,2.2
2026,2,مطار البحر الأحمر الدولي,وقت الانتظار عند التفتيش الأمني,0.8
2026,2,مطار البحر الأحمر الدولي,وقت الانتظار عند معاينة وثائق السفر للمغادرين,1.3
2026,2,مطار البحر الأحمر الدولي,وقت الانتظار عند معاينة وثائق السفر للقادمين,1.3
2026,2,مطار البحر الأحمر الدولي,وقت الانتظار عند التفتيش الجمركي,0.8
2026,2,مطار البحر الأحمر الدولي,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,16.3
2026,2,مطار البحر الأحمر الدولي,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.0
2026,2,مطار البحر الأحمر الدولي,وقت انتظار مساعدة ذوي الإعاقة القادمين,0.0
2026,2,مطار الملك سعود بن عبدالعزيز بالباحة,وقت الانتظار عند تسجيل إجراءات السفر,0.7
2026,2,مطار الملك سعود بن عبدالعزيز بالباحة,وقت الانتظار عند التفتيش الأمني,0.6
2026,2,مطار الملك سعود بن عبدالعزيز بالباحة,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,6.4
2026,2,مطار الملك سعود بن عبدالعزيز بالباحة,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.1
2026,2,مطار الملك سعود بن عبدالعزيز بالباحة,وقت انتظار مساعدة ذوي الإعاقة القادمين,0.0
2026,2,مطار بيشة,وقت الانتظار عند تسجيل إجراءات السفر,0.9
2026,2,مطار بيشة,وقت الانتظار عند التفتيش الأمني,0.5
2026,2,مطار بيشة,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,6.3
2026,2,مطار بيشة,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.0
2026,2,مطار بيشة,وقت انتظار مساعدة ذوي الإعاقة القادمين,0.1
2026,2,مطار طريف,وقت الانتظار عند تسجيل إجراءات السفر,0.4
2026,2,مطار طريف,وقت الانتظار عند التفتيش الأمني,0.3
2026,2,مطار طريف,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,5.7
2026,2,مطار طريف,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.0
2026,2,مطار طريف,وقت انتظار مساعدة ذوي الإعاقة القادمين,0.0
2026,2,مطار شرورة,وقت الانتظار عند تسجيل إجراءات السفر,0.6
2026,2,مطار شرورة,وقت الانتظار عند التفتيش الأمني,0.6
2026,2,مطار شرورة,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,7.4
2026,2,مطار شرورة,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.5
2026,2,مطار شرورة,وقت انتظار مساعدة ذوي الإعاقة القادمين,2.3
2026,2,مطار القريات,وقت الانتظار عند تسجيل إجراءات السفر,0.6
2026,2,مطار القريات,وقت الانتظار عند التفتيش الأمني,0.5
2026,2,مطار القريات,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,4.8
2026,2,مطار القريات,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.0
2026,2,مطار القريات,وقت انتظار مساعدة ذوي الإعاقة القادمين,0.1
2026,2,مطار وادي الدواسر,وقت الانتظار عند تسجيل إجراءات السفر,0.6
2026,2,مطار وادي الدواسر,وقت الانتظار عند التفتيش الأمني,0.4
2026,2,مطار وادي الدواسر,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,6.8
2026,2,مطار وادي الدواسر,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.3
2026,2,مطار وادي الدواسر,وقت انتظار مساعدة ذوي الإعاقة القادمين,1.6
2026,2,مطار رفحاء,وقت الانتظار عند تسجيل إجراءات السفر,0.5
2026,2,مطار رفحاء,وقت الانتظار عند التفتيش الأمني,0.4
2026,2,مطار رفحاء,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,5.4
2026,2,مطار رفحاء,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.2
2026,2,مطار رفحاء,وقت انتظار مساعدة ذوي الإعاقة القادمين,0.2
2026,2,مطار الدوادمي,وقت الانتظار عند تسجيل إجراءات السفر,1.6
2026,2,مطار الدوادمي,وقت الانتظار عند التفتيش الأمني,0.2
2026,2,مطار الدوادمي,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,5.6
2026,2,مطار الدوادمي,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.0
2026,2,مطار الدوادمي,وقت انتظار مساعدة ذوي الإعاقة القادمين,0.0
2026,3,مطار الملك عبدالعزيز الدولي بجدة,وقت الانتظار عند تسجيل إجراءات السفر,3.5
2026,3,مطار الملك عبدالعزيز الدولي بجدة,وقت الانتظار عند التفتيش الأمني,1.6
2026,3,مطار الملك عبدالعزيز الدولي بجدة,وقت الانتظار عند معاينة وثائق السفر للمغادرين,1.4
2026,3,مطار الملك عبدالعزيز الدولي بجدة,وقت الانتظار عند معاينة وثائق السفر للقادمين,1.7
2026,3,مطار الملك عبدالعزيز الدولي بجدة,وقت الانتظار عند التفتيش الجمركي,0.9
2026,3,مطار الملك عبدالعزيز الدولي بجدة,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,22.4
2026,3,مطار الملك عبدالعزيز الدولي بجدة,وقت انتظار مساعدة ذوي الإعاقة المغادرين,1.1
2026,3,مطار الملك عبدالعزيز الدولي بجدة,وقت انتظار مساعدة ذوي الإعاقة القادمين,2.0
2026,3,مطار الملك خالد الدولي بالرياض,وقت الانتظار عند تسجيل إجراءات السفر,2.2
2026,3,مطار الملك خالد الدولي بالرياض,وقت الانتظار عند التفتيش الأمني,1.2
2026,3,مطار الملك خالد الدولي بالرياض,وقت الانتظار عند معاينة وثائق السفر للمغادرين,0.9
2026,3,مطار الملك خالد الدولي بالرياض,وقت الانتظار عند معاينة وثائق السفر للقادمين,1.4
2026,3,مطار الملك خالد الدولي بالرياض,وقت الانتظار عند التفتيش الجمركي,0.8
2026,3,مطار الملك خالد الدولي بالرياض,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,21.9
2026,3,مطار الملك خالد الدولي بالرياض,وقت انتظار مساعدة ذوي الإعاقة المغادرين,6.4
2026,3,مطار الملك خالد الدولي بالرياض,وقت انتظار مساعدة ذوي الإعاقة القادمين,8.1
2026,3,مطار الملك فهد الدولي بالدمام,وقت الانتظار عند تسجيل إجراءات السفر,1.7
2026,3,مطار الملك فهد الدولي بالدمام,وقت الانتظار عند التفتيش الأمني,0.7
2026,3,مطار الملك فهد الدولي بالدمام,وقت الانتظار عند معاينة وثائق السفر للمغادرين,0.7
2026,3,مطار الملك فهد الدولي بالدمام,وقت الانتظار عند معاينة وثائق السفر للقادمين,1.2
2026,3,مطار الملك فهد الدولي بالدمام,وقت الانتظار عند التفتيش الجمركي,0.5
2026,3,مطار الملك فهد الدولي بالدمام,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,10.4
2026,3,مطار الملك فهد الدولي بالدمام,وقت انتظار مساعدة ذوي الإعاقة المغادرين,2.0
2026,3,مطار الملك فهد الدولي بالدمام,وقت انتظار مساعدة ذوي الإعاقة القادمين,2.4
2026,3,مطار الأمير محمد بن عبدالعزيز الدولي بالمدينة,وقت الانتظار عند تسجيل إجراءات السفر,2.9
2026,3,مطار الأمير محمد بن عبدالعزيز الدولي بالمدينة,وقت الانتظار عند التفتيش الأمني,1.2
2026,3,مطار الأمير محمد بن عبدالعزيز الدولي بالمدينة,وقت الانتظار عند معاينة وثائق السفر للمغادرين,1.7
2026,3,مطار الأمير محمد بن عبدالعزيز الدولي بالمدينة,وقت الانتظار عند معاينة وثائق السفر للقادمين,1.7
2026,3,مطار الأمير محمد بن عبدالعزيز الدولي بالمدينة,وقت الانتظار عند التفتيش الجمركي,1.1
2026,3,مطار الأمير محمد بن عبدالعزيز الدولي بالمدينة,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,24.0
2026,3,مطار الأمير محمد بن عبدالعزيز الدولي بالمدينة,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.0
2026,3,مطار الأمير محمد بن عبدالعزيز الدولي بالمدينة,وقت انتظار مساعدة ذوي الإعاقة القادمين,0.0
2026,3,مطار أبها الدولي,وقت الانتظار عند تسجيل إجراءات السفر,1.6
2026,3,مطار أبها الدولي,وقت الانتظار عند التفتيش الأمني,0.4
2026,3,مطار أبها الدولي,وقت الانتظار عند معاينة وثائق السفر للمغادرين,1.2
2026,3,مطار أبها الدولي,وقت الانتظار عند معاينة وثائق السفر للقادمين,1.2
2026,3,مطار أبها الدولي,وقت الانتظار عند التفتيش الجمركي,0.9
2026,3,مطار أبها الدولي,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,9.4
2026,3,مطار أبها الدولي,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.0
2026,3,مطار أبها الدولي,وقت انتظار مساعدة ذوي الإعاقة القادمين,2.0
2026,3,مطار الملك عبدالله بن عبدالعزيز الدولي بجيزان,وقت الانتظار عند تسجيل إجراءات السفر,1.0
2026,3,مطار الملك عبدالله بن عبدالعزيز الدولي بجيزان,وقت الانتظار عند التفتيش الأمني,1.5
2026,3,مطار الملك عبدالله بن عبدالعزيز الدولي بجيزان,وقت الانتظار عند معاينة وثائق السفر للمغادرين,0.3
2026,3,مطار الملك عبدالله بن عبدالعزيز الدولي بجيزان,وقت الانتظار عند معاينة وثائق السفر للقادمين,0.4
2026,3,مطار الملك عبدالله بن عبدالعزيز الدولي بجيزان,وقت الانتظار عند التفتيش الجمركي,1.2
2026,3,مطار الملك عبدالله بن عبدالعزيز الدولي بجيزان,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,8.1
2026,3,مطار الملك عبدالله بن عبدالعزيز الدولي بجيزان,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.5
2026,3,مطار الملك عبدالله بن عبدالعزيز الدولي بجيزان,وقت انتظار مساعدة ذوي الإعاقة القادمين,2.6
2026,3,مطار الأمير سلطان بن عبدالعزيز الدولي بتبوك,وقت الانتظار عند تسجيل إجراءات السفر,0.3
2026,3,مطار الأمير سلطان بن عبدالعزيز الدولي بتبوك,وقت الانتظار عند التفتيش الأمني,0.2
2026,3,مطار الأمير سلطان بن عبدالعزيز الدولي بتبوك,وقت الانتظار عند معاينة وثائق السفر للمغادرين,0.2
2026,3,مطار الأمير سلطان بن عبدالعزيز الدولي بتبوك,وقت الانتظار عند معاينة وثائق السفر للقادمين,0.2
2026,3,مطار الأمير سلطان بن عبدالعزيز الدولي بتبوك,وقت الانتظار عند التفتيش الجمركي,0.3
2026,3,مطار الأمير سلطان بن عبدالعزيز الدولي بتبوك,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,7.0
2026,3,مطار الأمير سلطان بن عبدالعزيز الدولي بتبوك,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.6
2026,3,مطار الأمير سلطان بن عبدالعزيز الدولي بتبوك,وقت انتظار مساعدة ذوي الإعاقة القادمين,0.1
2026,3,مطار الأمير نايف بن عبدالعزيز الدولي بالقصيم,وقت الانتظار عند تسجيل إجراءات السفر,1.1
2026,3,مطار الأمير نايف بن عبدالعزيز الدولي بالقصيم,وقت الانتظار عند التفتيش الأمني,0.6
2026,3,مطار الأمير نايف بن عبدالعزيز الدولي بالقصيم,وقت الانتظار عند معاينة وثائق السفر للمغادرين,0.7
2026,3,مطار الأمير نايف بن عبدالعزيز الدولي بالقصيم,وقت الانتظار عند معاينة وثائق السفر للقادمين,0.7
2026,3,مطار الأمير نايف بن عبدالعزيز الدولي بالقصيم,وقت الانتظار عند التفتيش الجمركي,0.7
2026,3,مطار الأمير نايف بن عبدالعزيز الدولي بالقصيم,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,7.5
2026,3,مطار الأمير نايف بن عبدالعزيز الدولي بالقصيم,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.1
2026,3,مطار الأمير نايف بن عبدالعزيز الدولي بالقصيم,وقت انتظار مساعدة ذوي الإعاقة القادمين,0.1
2026,3,مطار الطائف الدولي,وقت الانتظار عند تسجيل إجراءات السفر,1.4
2026,3,مطار الطائف الدولي,وقت الانتظار عند التفتيش الأمني,0.9
2026,3,مطار الطائف الدولي,وقت الانتظار عند معاينة وثائق السفر للمغادرين,0.8
2026,3,مطار الطائف الدولي,وقت الانتظار عند معاينة وثائق السفر للقادمين,0.9
2026,3,مطار الطائف الدولي,وقت الانتظار عند التفتيش الجمركي,0.9
2026,3,مطار الطائف الدولي,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,7.5
2026,3,مطار الطائف الدولي,وقت انتظار مساعدة ذوي الإعاقة المغادرين,1.5
2026,3,مطار الطائف الدولي,وقت انتظار مساعدة ذوي الإعاقة القادمين,1.4
2026,3,مطار حائل الدولي ,وقت الانتظار عند تسجيل إجراءات السفر,1.2
2026,3,مطار حائل الدولي ,وقت الانتظار عند التفتيش الأمني,0.7
2026,3,مطار حائل الدولي ,وقت الانتظار عند معاينة وثائق السفر للمغادرين,0.6
2026,3,مطار حائل الدولي ,وقت الانتظار عند معاينة وثائق السفر للقادمين,0.5
2026,3,مطار حائل الدولي ,وقت الانتظار عند التفتيش الجمركي,0.7
2026,3,مطار حائل الدولي ,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,8.2
2026,3,مطار حائل الدولي ,وقت انتظار مساعدة ذوي الإعاقة المغادرين,1.1
2026,3,مطار حائل الدولي ,وقت انتظار مساعدة ذوي الإعاقة القادمين,2.5
2026,3,مطار الأمير عبدالمحسن بن عبدالعزيز الدولي بينبع,وقت الانتظار عند تسجيل إجراءات السفر,1.5
2026,3,مطار الأمير عبدالمحسن بن عبدالعزيز الدولي بينبع,وقت الانتظار عند التفتيش الأمني,0.6
2026,3,مطار الأمير عبدالمحسن بن عبدالعزيز الدولي بينبع,وقت الانتظار عند معاينة وثائق السفر للمغادرين,0.6
2026,3,مطار الأمير عبدالمحسن بن عبدالعزيز الدولي بينبع,وقت الانتظار عند معاينة وثائق السفر للقادمين,1.3
2026,3,مطار الأمير عبدالمحسن بن عبدالعزيز الدولي بينبع,وقت الانتظار عند التفتيش الجمركي,0.8
2026,3,مطار الأمير عبدالمحسن بن عبدالعزيز الدولي بينبع,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,7.4
2026,3,مطار الأمير عبدالمحسن بن عبدالعزيز الدولي بينبع,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.0
2026,3,مطار الأمير عبدالمحسن بن عبدالعزيز الدولي بينبع,وقت انتظار مساعدة ذوي الإعاقة القادمين,1.3
2026,3,مطار الجوف الدولي,وقت الانتظار عند تسجيل إجراءات السفر,1.0
2026,3,مطار الجوف الدولي,وقت الانتظار عند التفتيش الأمني,0.5
2026,3,مطار الجوف الدولي,وقت الانتظار عند معاينة وثائق السفر للمغادرين,0.7
2026,3,مطار الجوف الدولي,وقت الانتظار عند معاينة وثائق السفر للقادمين,0.4
2026,3,مطار الجوف الدولي,وقت الانتظار عند التفتيش الجمركي,0.5
2026,3,مطار الجوف الدولي,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,7.7
2026,3,مطار الجوف الدولي,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.0
2026,3,مطار الجوف الدولي,وقت انتظار مساعدة ذوي الإعاقة القادمين,0.1
2026,3,مطار الأحساء الدولي,وقت الانتظار عند تسجيل إجراءات السفر,0.1
2026,3,مطار الأحساء الدولي,وقت الانتظار عند التفتيش الأمني,0.1
2026,3,مطار الأحساء الدولي,وقت الانتظار عند معاينة وثائق السفر للمغادرين,-
2026,3,مطار الأحساء الدولي,وقت الانتظار عند معاينة وثائق السفر للقادمين,-
2026,3,مطار الأحساء الدولي,وقت الانتظار عند التفتيش الجمركي,-
2026,3,مطار الأحساء الدولي,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,5.9
2026,3,مطار الأحساء الدولي,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.0
2026,3,مطار الأحساء الدولي,وقت انتظار مساعدة ذوي الإعاقة القادمين,0.0
2026,3,مطار العلا الدولي,وقت الانتظار عند تسجيل إجراءات السفر,0.5
2026,3,مطار العلا الدولي,وقت الانتظار عند التفتيش الأمني,0.5
2026,3,مطار العلا الدولي,وقت الانتظار عند معاينة وثائق السفر للمغادرين,-
2026,3,مطار العلا الدولي,وقت الانتظار عند معاينة وثائق السفر للقادمين,-
2026,3,مطار العلا الدولي,وقت الانتظار عند التفتيش الجمركي,-
2026,3,مطار العلا الدولي,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,8.8
2026,3,مطار العلا الدولي,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.3
2026,3,مطار العلا الدولي,وقت انتظار مساعدة ذوي الإعاقة القادمين,0.4
2026,3,مطار نجران الدولي ,وقت الانتظار عند تسجيل إجراءات السفر,0.5
2026,3,مطار نجران الدولي ,وقت الانتظار عند التفتيش الأمني,0.2
2026,3,مطار نجران الدولي ,وقت الانتظار عند معاينة وثائق السفر للمغادرين,0.4
2026,3,مطار نجران الدولي ,وقت الانتظار عند معاينة وثائق السفر للقادمين,0.4
2026,3,مطار نجران الدولي ,وقت الانتظار عند التفتيش الجمركي,0.3
2026,3,مطار نجران الدولي ,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,7.7
2026,3,مطار نجران الدولي ,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.0
2026,3,مطار نجران الدولي ,وقت انتظار مساعدة ذوي الإعاقة القادمين,0.1
2026,3,مطار القيصومة الدولي,وقت الانتظار عند تسجيل إجراءات السفر,0.7
2026,3,مطار القيصومة الدولي,وقت الانتظار عند التفتيش الأمني,0.6
2026,3,مطار القيصومة الدولي,وقت الانتظار عند معاينة وثائق السفر للمغادرين,0.7
2026,3,مطار القيصومة الدولي,وقت الانتظار عند معاينة وثائق السفر للقادمين,0.6
2026,3,مطار القيصومة الدولي,وقت الانتظار عند التفتيش الجمركي,0.6
2026,3,مطار القيصومة الدولي,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,5.1
2026,3,مطار القيصومة الدولي,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.0
2026,3,مطار القيصومة الدولي,وقت انتظار مساعدة ذوي الإعاقة القادمين,0.0
2026,3,مطار عرعر الدولي,وقت الانتظار عند تسجيل إجراءات السفر,0.5
2026,3,مطار عرعر الدولي,وقت الانتظار عند التفتيش الأمني,0.5
2026,3,مطار عرعر الدولي,وقت الانتظار عند معاينة وثائق السفر للمغادرين,0.4
2026,3,مطار عرعر الدولي,وقت الانتظار عند معاينة وثائق السفر للقادمين,0.4
2026,3,مطار عرعر الدولي,وقت الانتظار عند التفتيش الجمركي,0.5
2026,3,مطار عرعر الدولي,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,5.7
2026,3,مطار عرعر الدولي,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.3
2026,3,مطار عرعر الدولي,وقت انتظار مساعدة ذوي الإعاقة القادمين,0.3
2026,3,مطار خليج نيوم الدولي,وقت الانتظار عند تسجيل إجراءات السفر,0.3
2026,3,مطار خليج نيوم الدولي,وقت الانتظار عند التفتيش الأمني,0.2
