السنة,الشهر,المطار,المعيار,متوسط أوقات الانتظار (بالدقائق)
2026,1,مطار الملك عبدالله بن عبدالعزيز الدولي بجيزان,وقت انتظار مساعدة ذوي الإعاقة القادمين,2.6
2026,1,مطار الأمير سلطان بن عبدالعزيز الدولي بتبوك,وقت الانتظار عند تسجيل إجراءات السفر,0.4
2026,1,مطار الأمير سلطان بن عبدالعزيز الدولي بتبوك,وقت الانتظار عند التفتيش الأمني,0.3
2026,1,مطار الأمير سلطان بن عبدالعزيز الدولي بتبوك,وقت الانتظار عند معاينة وثائق السفر للمغادرين,0.3
2026,1,مطار الأمير سلطان بن عبدالعزيز الدولي بتبوك,وقت الانتظار عند معاينة وثائق السفر للقادمين,0.3
2026,1,مطار الأمير سلطان بن عبدالعزيز الدولي بتبوك,وقت الانتظار عند التفتيش الجمركي,0.4
2026,1,مطار الأمير سلطان بن عبدالعزيز الدولي بتبوك,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,7.9
2026,1,مطار الأمير سلطان بن عبدالعزيز الدولي بتبوك,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.5
2026,1,مطار الأمير سلطان بن عبدالعزيز الدولي بتبوك,وقت انتظار مساعدة ذوي الإعاقة القادمين,0.3
2026,1,مطار الأمير نايف بن عبدالعزيز الدولي بالقصيم,وقت الانتظار عند تسجيل إجراءات السفر,1.2
2026,1,مطار الأمير نايف بن عبدالعزيز الدولي بالقصيم,وقت الانتظار عند التفتيش الأمني,0.6
2026,1,مطار الأمير نايف بن عبدالعزيز الدولي بالقصيم,وقت الانتظار عند معاينة وثائق السفر للمغادرين,0.8
2026,1,مطار الأمير نايف بن عبدالعزيز الدولي بالقصيم,وقت الانتظار عند معاينة وثائق السفر للقادمين,0.8
2026,1,مطار الأمير نايف بن عبدالعزيز الدولي بالقصيم,وقت الانتظار عند التفتيش الجمركي,0.7
2026,1,مطار الأمير نايف بن عبدالعزيز الدولي بالقصيم,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,7.9
2026,1,مطار الأمير نايف بن عبدالعزيز الدولي بالقصيم,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.1
2026,1,مطار الأمير نايف بن عبدالعزيز الدولي بالقصيم,وقت انتظار مساعدة ذوي الإعاقة القادمين,0.2
2026,1,مطار الطائف الدولي,وقت الانتظار عند تسجيل إجراءات السفر,1.4
2026,1,مطار الطائف الدولي,وقت الانتظار عند التفتيش الأمني,1.0
2026,1,مطار الطائف الدولي,وقت الانتظار عند معاينة وثائق السفر للمغادرين,0.9
2026,1,مطار الطائف الدولي,وقت الانتظار عند معاينة وثائق السفر للقادمين,0.9
2026,1,مطار الطائف الدولي,وقت الانتظار عند التفتيش الجمركي,1
2026,1,مطار الطائف الدولي,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,9
2026,1,مطار الطائف الدولي,وقت انتظار مساعدة ذوي الإعاقة المغادرين,1.6
2026,1,مطار الطائف الدولي,وقت انتظار مساعدة ذوي الإعاقة القادمين,1.7
2026,1,مطار حائل الدولي ,وقت الانتظار عند تسجيل إجراءات السفر,1.3
2026,1,مطار حائل الدولي ,وقت الانتظار عند التفتيش الأمني,0.8
2026,1,مطار حائل الدولي ,وقت الانتظار عند معاينة وثائق السفر للمغادرين,0.7
2026,1,مطار حائل الدولي ,وقت الانتظار عند معاينة وثائق السفر للقادمين,0.5
2026,1,مطار حائل الدولي ,وقت الانتظار عند التفتيش الجمركي,0.7
2026,1,مطار حائل الدولي ,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,8.6
2026,1,مطار حائل الدولي ,وقت انتظار مساعدة ذوي الإعاقة المغادرين,1.1
2026,1,مطار حائل الدولي ,وقت انتظار مساعدة ذوي الإعاقة القادمين,2.5
2026,1,مطار الأمير عبدالمحسن بن عبدالعزيز الدولي بينبع,وقت الانتظار عند تسجيل إجراءات السفر,1.4
2026,1,مطار الأمير عبدالمحسن بن عبدالعزيز الدولي بينبع,وقت الانتظار عند التفتيش الأمني,0.7
2026,1,مطار الأمير عبدالمحسن بن عبدالعزيز الدولي بينبع,وقت الانتظار عند معاينة وثائق السفر للمغادرين,0.8
2026,1,مطار الأمير عبدالمحسن بن عبدالعزيز الدولي بينبع,وقت الانتظار عند معاينة وثائق السفر للقادمين,1.2
2026,1,مطار الأمير عبدالمحسن بن عبدالعزيز الدولي بينبع,وقت الانتظار عند التفتيش الجمركي,0.9
2026,1,مطار الأمير عبدالمحسن بن عبدالعزيز الدولي بينبع,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,9.2
2026,1,مطار الأمير عبدالمحسن بن عبدالعزيز الدولي بينبع,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.0
2026,1,مطار الأمير عبدالمحسن بن عبدالعزيز الدولي بينبع,وقت انتظار مساعدة ذوي الإعاقة القادمين,1.0
2026,1,مطار الجوف الدولي,وقت الانتظار عند تسجيل إجراءات السفر,0.6
2026,1,مطار الجوف الدولي,وقت الانتظار عند التفتيش الأمني,0.3
2026,1,مطار الجوف الدولي,وقت الانتظار عند معاينة وثائق السفر للمغادرين,0.3
2026,1,مطار الجوف الدولي,وقت الانتظار عند معاينة وثائق السفر للقادمين,0.7
2026,1,مطار الجوف الدولي,وقت الانتظار عند التفتيش الجمركي,1.1
2026,1,مطار الجوف الدولي,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,8
2026,1,مطار الجوف الدولي,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.0
2026,1,مطار الجوف الدولي,وقت انتظار مساعدة ذوي الإعاقة القادمين,3.1
2026,1,مطار الأحساء الدولي,وقت الانتظار عند تسجيل إجراءات السفر,0.1
2026,1,مطار الأحساء الدولي,وقت الانتظار عند التفتيش الأمني,0.1
2026,1,مطار الأحساء الدولي,وقت الانتظار عند معاينة وثائق السفر للمغادرين,0.1
2026,1,مطار الأحساء الدولي,وقت الانتظار عند معاينة وثائق السفر للقادمين,0.1
2026,1,مطار الأحساء الدولي,وقت الانتظار عند التفتيش الجمركي,0.1
2026,1,مطار الأحساء الدولي,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,5.8
2026,1,مطار الأحساء الدولي,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.0
2026,1,مطار الأحساء الدولي,وقت انتظار مساعدة ذوي الإعاقة القادمين,0.0
2026,1,مطار العلا الدولي,وقت الانتظار عند تسجيل إجراءات السفر,1.1
2026,1,مطار العلا الدولي,وقت الانتظار عند التفتيش الأمني,0.8
2026,1,مطار العلا الدولي,وقت الانتظار عند معاينة وثائق السفر للمغادرين,0.7
2026,1,مطار العلا الدولي,وقت الانتظار عند معاينة وثائق السفر للقادمين,0.9
2026,1,مطار العلا الدولي,وقت الانتظار عند التفتيش الجمركي,0.7
2026,1,مطار العلا الدولي,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,9.6
2026,1,مطار العلا الدولي,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.5
2026,1,مطار العلا الدولي,وقت انتظار مساعدة ذوي الإعاقة القادمين,0.5
2026,1,مطار نجران الدولي ,وقت الانتظار عند تسجيل إجراءات السفر,0.5
2026,1,مطار نجران الدولي ,وقت الانتظار عند التفتيش الأمني,0.3
2026,1,مطار نجران الدولي ,وقت الانتظار عند معاينة وثائق السفر للمغادرين,0.5
2026,1,مطار نجران الدولي ,وقت الانتظار عند معاينة وثائق السفر للقادمين,0.4
2026,1,مطار نجران الدولي ,وقت الانتظار عند التفتيش الجمركي,0.5
2026,1,مطار نجران الدولي ,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,8
2026,1,مطار نجران الدولي ,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.0
2026,1,مطار نجران الدولي ,وقت انتظار مساعدة ذوي الإعاقة القادمين,0.1
2026,1,مطار القيصومة الدولي,وقت الانتظار عند تسجيل إجراءات السفر,0.6
2026,1,مطار القيصومة الدولي,وقت الانتظار عند التفتيش الأمني,0.6
2026,1,مطار القيصومة الدولي,وقت الانتظار عند معاينة وثائق السفر للمغادرين,0.7
2026,1,مطار القيصومة الدولي,وقت الانتظار عند معاينة وثائق السفر للقادمين,0.6
2026,1,مطار القيصومة الدولي,وقت الانتظار عند التفتيش الجمركي,0.6
2026,1,مطار القيصومة الدولي,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,4.4
2026,1,مطار القيصومة الدولي,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.0
2026,1,مطار القيصومة الدولي,وقت انتظار مساعدة ذوي الإعاقة القادمين,0.0
2026,1,مطار عرعر الدولي,وقت الانتظار عند تسجيل إجراءات السفر,0.5
2026,1,مطار عرعر الدولي,وقت الانتظار عند التفتيش الأمني,0.5
2026,1,مطار عرعر الدولي,وقت الانتظار عند معاينة وثائق السفر للمغادرين,0.5
2026,1,مطار عرعر الدولي,وقت الانتظار عند معاينة وثائق السفر للقادمين,0.5
2026,1,مطار عرعر الدولي,وقت الانتظار عند التفتيش الجمركي,0.7
2026,1,مطار عرعر الدولي,وقت الانتظار عند استلام الأمتعة - متوسط أول وآخر حقيبة,5.5
2026,1,مطار عرعر الدولي,وقت انتظار مساعدة ذوي الإعاقة المغادرين,0.2
2026,1,مطار عرعر الدولي,وقت انتظار مساعدة ذوي الإعاقة القادمين,0.4
2026,1,مطار خليج نيوم الدولي,وقت الانتظار عند تسجيل إجراءات السفر,0.3
2026,1,مطار خليج نيوم الدولي,وقت الانتظار عند التفتيش الأمني,0.2
2026,1,مطار خليج نيوم الدولي,وقت الانتظار عند معاينة وثائق السفر للمغادرين,0.2
2026,1,مطار خليج نيوم الدولي,وقت الانتظار عند معاينة وثائق السفر للقادمين,0.3
2026,1,مطار خليج نيوم الدولي,وقت الانتظار عند التفتيش الجمركي,0.3
